id|lat|long|rad|zoomlevel|neighborhood
1|37.7697|-122.4781|150|13|Golden Gate Park
2|37.7981|-122.4658|75|13|Presidio
3|37.8840|-122.4564|100|13|Tiburon
11|37.7805|-122.4725|100|13|Richmond District
21|37.7535|-122.4952|100|13|Sunset District
42|37.7422|-122.4655|50|13|West Portal
52|37.7698|-122.4472|75|13|Haight Ashbury
53|37.7514|-122.4316|30|13|Noe Valley
54|37.7516|-122.4477|75|13|Twin Peaks
59|37.7627|-122.4352|75|13|Castro
62|37.7727|-122.4283|30|13|Hayes Valley
71|37.8030|-122.4375|50|13|Marina District
72|37.7849|-122.4522|75|13|Pacific Heights
82|37.7951|-122.4046|40|14|Financial District
83|37.7947|-122.4072|30|13|China Town
84|37.8058|-122.4122|40|13|North Beach
85|37.8018|-122.4198|30|13|Russian Hill
86|37.7793|-122.4175|30|13|Civic Center
87|37.7833|-122.4167|20|13|Tenderloin 
89|37.7894|-122.4077|5|13|Hackbright Academy
91|37.7415|-122.4144|30|13|Bernal Heights
93|37.7600|-122.4148|75|13|Mission District
95|37.7572|-122.3999|75|13|Potrero
96|37.7787|-122.3974|30|13|SOMA
101|37.7268|-122.3887|40|13|Bayview
